lambda  n   fit
4.788899999999999864e+02 2.048000000000000043e+01 0.000000000000000000e+00
4.789599999999999795e+02 -8.396999999999999886e+01 0.000000000000000000e+00
4.790199999999999818e+02 -4.300999999999999801e+01 0.000000000000000000e+00
4.790899999999999750e+02 1.024000000000000021e+01 0.000000000000000000e+00
4.791600000000000250e+02 9.010999999999999943e+01 0.000000000000000000e+00
4.792300000000000182e+02 3.685999999999999943e+01 0.000000000000000000e+00
4.793000000000000114e+02 3.685999999999999943e+01 0.000000000000000000e+00
4.793700000000000045e+02 -1.024000000000000021e+01 0.000000000000000000e+00
4.794300000000000068e+02 2.457999999999999829e+01 0.000000000000000000e+00
4.795000000000000000e+02 -5.734000000000000341e+01 0.000000000000000000e+00
4.795699999999999932e+02 3.277000000000000313e+01 0.000000000000000000e+00
4.796399999999999864e+02 -1.842999999999999972e+01 0.000000000000000000e+00
4.797099999999999795e+02 6.554000000000000625e+01 0.000000000000000000e+00
4.797699999999999818e+02 4.096000000000000085e+01 0.000000000000000000e+00
4.798399999999999750e+02 2.049999999999999822e+00 0.000000000000000000e+00
4.799100000000000250e+02 -5.120000000000000284e+01 0.000000000000000000e+00
4.799800000000000182e+02 -6.139999999999999680e+00 0.000000000000000000e+00
4.800500000000000114e+02 -3.482000000000000028e+01 0.000000000000000000e+00
4.801100000000000136e+02 3.685999999999999943e+01 0.000000000000000000e+00
4.801800000000000068e+02 5.325000000000000000e+01 0.000000000000000000e+00
4.802500000000000000e+02 -6.553000000000000114e+01 0.000000000000000000e+00
4.803199999999999932e+02 -2.253000000000000114e+01 0.000000000000000000e+00
4.803899999999999864e+02 1.024000000000000021e+01 0.000000000000000000e+00
4.804499999999999886e+02 -6.757999999999999829e+01 0.000000000000000000e+00
4.805199999999999818e+02 -8.192000000000000171e+01 0.000000000000000000e+00
4.805899999999999750e+02 4.096000000000000085e+01 0.000000000000000000e+00
4.806600000000000250e+02 -6.553000000000000114e+01 0.000000000000000000e+00
4.807300000000000182e+02 -1.637999999999999901e+01 0.000000000000000000e+00
4.807900000000000205e+02 2.253000000000000114e+01 0.000000000000000000e+00
4.808600000000000136e+02 -6.553000000000000114e+01 0.000000000000000000e+00
4.809300000000000068e+02 -7.781999999999999318e+01 0.000000000000000000e+00
4.810000000000000000e+02 8.189999999999999503e+00 0.000000000000000000e+00
