t   ch1 fitch1  ch2 fitch2  ch3
-5.995999999999999552e+00 -1.319999999999999929e+01 3.834031497472692340e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.079999999999999716e+01
-5.985999999999999766e+00 -1.040000000000000036e+01 3.834031497472692340e+00 1.199999999999999956e+00 0.000000000000000000e+00 4.000000000000000000e+01
-5.975999999999999979e+00 -1.080000000000000071e+01 3.834031497472692340e+00 1.199999999999999956e+00 0.000000000000000000e+00 4.000000000000000000e+01
-5.966000000000000192e+00 -8.400000000000000355e+00 3.834031497472692340e+00 6.799999999999999822e+00 0.000000000000000000e+00 4.079999999999999716e+01
-5.955999999999999517e+00 -8.400000000000000355e+00 3.834031497472692340e+00 1.199999999999999956e+00 0.000000000000000000e+00 4.000000000000000000e+01
-5.945999999999999730e+00 -6.000000000000000000e+00 3.834031497472692340e+00 2.000000000000000111e-01 0.000000000000000000e+00 4.079999999999999716e+01
-5.935999999999999055e+00 -6.799999999999999822e+00 3.834031497472692340e+00 4.000000000000000222e-01 0.000000000000000000e+00 4.000000000000000000e+01
-5.926000000000000156e+00 -4.000000000000000000e+00 3.834031497472692340e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.079999999999999716e+01
-5.915999999999999481e+00 -5.200000000000000178e+00 3.834031497472692340e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+01
-5.905999999999999694e+00 -2.799999999999999822e+00 3.834031497472692340e+00 4.000000000000000222e-01 0.000000000000000000e+00 4.079999999999999716e+01
-5.895999999999999019e+00 -3.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 0.000000000000000000e+00 4.000000000000000000e+01
-5.886000000000000121e+00 -1.600000000000000089e+00 3.834031497472692340e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.079999999999999716e+01
-5.875999999999999446e+00 -2.000000000000000000e+00 3.834031497472692340e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+01
-5.865999999999999659e+00 4.000000000000000222e-01 3.834031497472692340e+00 4.000000000000000222e-01 0.000000000000000000e+00 4.079999999999999716e+01
-5.855999999999998984e+00 4.000000000000000222e-01 3.834031497472692340e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+01
-5.845999999999999197e+00 2.399999999999999911e+00 3.834031497472692340e+00 4.000000000000000222e-01 0.000000000000000000e+00 4.079999999999999716e+01
-5.835999999999999410e+00 1.199999999999999956e+00 3.834031497472692340e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+01
-5.825999999999999623e+00 2.799999999999999822e+00 3.834031497472692340e+00 4.000000000000000222e-01 0.000000000000000000e+00 4.160000000000000142e+01
-5.815999999999999837e+00 2.399999999999999911e+00 3.834031497472692340e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.160000000000000142e+01
-5.805999999999999162e+00 3.600000000000000089e+00 3.834031497472692340e+00 4.000000000000000222e-01 0.000000000000000000e+00 4.000000000000000000e+01
-5.796000000000000263e+00 3.200000000000000178e+00 3.834031497472692340e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.160000000000000142e+01
-5.785999999999999588e+00 4.000000000000000000e+00 3.834031497472692340e+00 4.000000000000000222e-01 0.000000000000000000e+00 4.079999999999999716e+01
-5.775999999999999801e+00 4.000000000000000000e+00 3.834031497472692340e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.160000000000000142e+01
-5.765999999999999126e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 0.000000000000000000e+00 4.079999999999999716e+01
-5.756000000000000227e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.079999999999999716e+01
-5.745999999999999552e+00 6.000000000000000000e+00 3.834031497472692340e+00 4.000000000000000222e-01 0.000000000000000000e+00 4.160000000000000142e+01
-5.735999999999999766e+00 6.000000000000000000e+00 3.834031497472692340e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.160000000000000142e+01
-5.725999999999999091e+00 4.799999999999999822e+00 3.834031497472692340e+00 4.000000000000000222e-01 0.000000000000000000e+00 4.079999999999999716e+01
-5.715999999999999304e+00 6.000000000000000000e+00 3.834031497472692340e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.160000000000000142e+01
-5.705999999999999517e+00 4.799999999999999822e+00 3.834031497472692340e+00 2.000000000000000111e-01 0.000000000000000000e+00 4.079999999999999716e+01
-5.695999999999999730e+00 5.599999999999999645e+00 3.834031497472692340e+00 2.000000000000000111e-01 0.000000000000000000e+00 4.160000000000000142e+01
-5.685999999999999055e+00 6.400000000000000355e+00 3.834031497472692340e+00 -2.000000000000000111e-01 0.000000000000000000e+00 4.079999999999999716e+01
-5.675999999999999268e+00 6.400000000000000355e+00 3.834031497472692340e+00 2.000000000000000111e-01 0.000000000000000000e+00 4.160000000000000142e+01
-5.665999999999999481e+00 5.599999999999999645e+00 3.834031497472692340e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.079999999999999716e+01
-5.655999999999999694e+00 6.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.160000000000000142e+01
-5.645999999999999908e+00 5.599999999999999645e+00 3.834031497472692340e+00 4.000000000000000222e-01 0.000000000000000000e+00 4.079999999999999716e+01
-5.635999999999999233e+00 6.000000000000000000e+00 3.834031497472692340e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.160000000000000142e+01
-5.626000000000000334e+00 6.799999999999999822e+00 3.834031497472692340e+00 8.000000000000000444e-01 0.000000000000000000e+00 4.079999999999999716e+01
-5.615999999999999659e+00 6.000000000000000000e+00 3.834031497472692340e+00 8.000000000000000444e-01 0.000000000000000000e+00 4.160000000000000142e+01
-5.605999999999999872e+00 6.799999999999999822e+00 3.834031497472692340e+00 7.599999999999999645e+00 0.000000000000000000e+00 4.079999999999999716e+01
-5.595999999999999197e+00 6.000000000000000000e+00 3.834031497472692340e+00 1.200000000000000000e+01 0.000000000000000000e+00 4.079999999999999716e+01
-5.585999999999999410e+00 7.200000000000000178e+00 3.834031497472692340e+00 1.000000000000000000e+00 0.000000000000000000e+00 4.160000000000000142e+01
-5.575999999999999623e+00 6.000000000000000000e+00 3.834031497472692340e+00 1.000000000000000000e+00 0.000000000000000000e+00 4.160000000000000142e+01
-5.565999999999999837e+00 6.799999999999999822e+00 3.834031497472692340e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.079999999999999716e+01
-5.555999999999999162e+00 6.000000000000000000e+00 3.834031497472692340e+00 4.000000000000000222e-01 0.000000000000000000e+00 4.160000000000000142e+01
-5.545999999999999375e+00 6.799999999999999822e+00 3.834031497472692340e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.079999999999999716e+01
-5.535999999999999588e+00 6.000000000000000000e+00 3.834031497472692340e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.079999999999999716e+01
-5.525999999999999801e+00 7.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 0.000000000000000000e+00 4.320000000000000284e+01
-5.515999999999999126e+00 6.000000000000000000e+00 3.834031497472692340e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.079999999999999716e+01
-5.505999999999999339e+00 7.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 0.000000000000000000e+00 4.320000000000000284e+01
-5.495999999999999552e+00 6.799999999999999822e+00 3.834031497472692340e+00 4.000000000000000222e-01 0.000000000000000000e+00 4.320000000000000284e+01
-5.485999999999999766e+00 6.000000000000000000e+00 3.834031497472692340e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.160000000000000142e+01
