lambda  n   fit
4.767699999999999818e+02 -6.553000000000000114e+01 0.000000000000000000e+00
4.768399999999999750e+02 -6.553000000000000114e+01 0.000000000000000000e+00
4.769100000000000250e+02 -6.553000000000000114e+01 0.000000000000000000e+00
4.769800000000000182e+02 -6.139999999999999680e+00 0.000000000000000000e+00
4.770400000000000205e+02 5.529999999999999716e+01 0.000000000000000000e+00
4.771100000000000136e+02 -9.829999999999999716e+01 0.000000000000000000e+00
4.771800000000000068e+02 -3.685999999999999943e+01 0.000000000000000000e+00
4.772500000000000000e+02 9.829999999999999716e+01 0.000000000000000000e+00
4.773199999999999932e+02 -3.071999999999999886e+01 0.000000000000000000e+00
4.773899999999999864e+02 1.637999999999999901e+01 0.000000000000000000e+00
4.774499999999999886e+02 2.867000000000000171e+01 0.000000000000000000e+00
4.775199999999999818e+02 -3.890999999999999659e+01 0.000000000000000000e+00
4.775899999999999750e+02 1.637999999999999901e+01 0.000000000000000000e+00
4.776600000000000250e+02 -3.482000000000000028e+01 0.000000000000000000e+00
4.777300000000000182e+02 2.048000000000000043e+01 0.000000000000000000e+00
4.778000000000000114e+02 7.576999999999999602e+01 0.000000000000000000e+00
4.778600000000000136e+02 -1.310699999999999932e+02 0.000000000000000000e+00
4.779300000000000068e+02 -1.637999999999999901e+01 0.000000000000000000e+00
4.780000000000000000e+02 -1.228999999999999915e+01 0.000000000000000000e+00
4.780699999999999932e+02 -1.105900000000000034e+02 0.000000000000000000e+00
4.781399999999999864e+02 8.189999999999999503e+00 0.000000000000000000e+00
4.782099999999999795e+02 -6.143999999999999773e+01 0.000000000000000000e+00
4.782699999999999818e+02 2.048000000000000043e+01 0.000000000000000000e+00
4.783399999999999750e+02 -1.228999999999999915e+01 0.000000000000000000e+00
4.784100000000000250e+02 8.601000000000000512e+01 0.000000000000000000e+00
4.784800000000000182e+02 5.120000000000000284e+01 0.000000000000000000e+00
4.785500000000000114e+02 -6.139999999999999680e+00 0.000000000000000000e+00
