t   ch2 ch3 fit
-5.415999999999999481e+00 4.000000000000000222e-01 -2.480000000000000071e+01 2.264225079258582042e-09
-5.405999999999999694e+00 0.000000000000000000e+00 -2.560000000000000142e+01 1.592346793616901726e-10
-5.395999999999999908e+00 4.000000000000000222e-01 -2.480000000000000071e+01 9.634930952296282224e-12
-5.385999999999999233e+00 0.000000000000000000e+00 -2.719999999999999929e+01 5.015941275786271584e-13
-5.375999999999999446e+00 4.000000000000000222e-01 -2.560000000000000142e+01 2.246721119285547124e-14
-5.365999999999999659e+00 0.000000000000000000e+00 -2.719999999999999929e+01 8.658422615287410142e-16
-5.355999999999999872e+00 4.000000000000000222e-01 -2.639999999999999858e+01 2.870921248073545797e-17
-5.345999999999999197e+00 0.000000000000000000e+00 -2.719999999999999929e+01 8.190240733851728277e-19
-5.335999999999999410e+00 0.000000000000000000e+00 -2.639999999999999858e+01 2.010318837832841487e-20
-5.325999999999998735e+00 4.000000000000000222e-01 -2.800000000000000000e+01 4.245473214350092127e-22
-5.315999999999999837e+00 0.000000000000000000e+00 -2.800000000000000000e+01 7.714009258379644235e-24
-5.306000000000000050e+00 4.000000000000000222e-01 -2.639999999999999858e+01 1.205943869477855652e-25
-5.295999999999999375e+00 0.000000000000000000e+00 -2.800000000000000000e+01 1.622060020100924406e-27
-5.285999999999999588e+00 4.000000000000000222e-01 -2.719999999999999929e+01 1.877152835693860073e-29
-5.275999999999999801e+00 4.000000000000000222e-01 -2.719999999999999929e+01 1.869068573248827031e-31
-5.266000000000000014e+00 0.000000000000000000e+00 -2.880000000000000071e+01 1.601193153344353738e-33
-5.255999999999999339e+00 4.000000000000000222e-01 -2.960000000000000142e+01 1.180198616648051941e-35
-5.245999999999999552e+00 0.000000000000000000e+00 -2.719999999999999929e+01 7.484440941737200473e-38
-5.235999999999999766e+00 0.000000000000000000e+00 -2.960000000000000142e+01 4.083725275135700580e-40
-5.225999999999999979e+00 4.000000000000000222e-01 -2.880000000000000071e+01 1.917107905274002262e-42
-5.215999999999999304e+00 0.000000000000000000e+00 -2.880000000000000071e+01 7.743360623745520645e-45
-5.205999999999999517e+00 4.000000000000000222e-01 -3.039999999999999858e+01 2.690947972439879941e-47
-5.195999999999998842e+00 0.000000000000000000e+00 -3.039999999999999858e+01 8.045888395013503126e-50
-5.185999999999999943e+00 4.000000000000000222e-01 -2.880000000000000071e+01 2.069834373468740756e-52
-5.175999999999999268e+00 4.000000000000000222e-01 -3.039999999999999858e+01 4.581314151960656384e-55
-5.165999999999999481e+00 0.000000000000000000e+00 -2.960000000000000142e+01 8.724437577067874057e-58
-5.155999999999998806e+00 0.000000000000000000e+00 -3.039999999999999858e+01 1.429478716531738309e-60
-5.145999999999999908e+00 4.000000000000000222e-01 -2.960000000000000142e+01 2.015166037341880933e-63
-5.136000000000000121e+00 0.000000000000000000e+00 -2.960000000000000142e+01 2.444200701885618803e-66
-5.125999999999999446e+00 4.000000000000000222e-01 -3.200000000000000000e+01 2.550678852649493927e-69
-5.115999999999999659e+00 0.000000000000000000e+00 -3.119999999999999929e+01 2.290169287516092889e-72
-5.105999999999999872e+00 4.000000000000000222e-01 -3.200000000000000000e+01 1.769181048986863379e-75
-5.096000000000000085e+00 0.000000000000000000e+00 -3.119999999999999929e+01 1.175898560766912217e-78
-5.085999999999999410e+00 4.000000000000000222e-01 -3.279999999999999716e+01 6.724505090185834374e-82
-5.075999999999999623e+00 4.000000000000000222e-01 -3.119999999999999929e+01 3.308595557088082361e-85
-5.065999999999998948e+00 0.000000000000000000e+00 -3.279999999999999716e+01 1.400618716326345368e-88
-5.056000000000000050e+00 4.000000000000000222e-01 -3.279999999999999716e+01 5.101396224967421984e-92
-5.045999999999999375e+00 0.000000000000000000e+00 -3.200000000000000000e+01 1.598641471515623630e-95
